"BuildingAge","BuildingHeight","Insulation","AverageTemperature","SunlightExposure","WindSpeed","OccupancyRate","HeatingLoad"
18.56,30.36,1,13.75,453.67,3.89,0.65,275.89
13.82,9.64,0,18.7,138.85,0.95,0.55,208.02
36.47,8.44,1,18.23,190.31,4.71,0.56,234.86
23.23,18.71,1,21.89,313.15,8.51,0.25,243.89
11.62,11.95,0,19.49,117.53,1.57,0.58,205.94
16.2,19.3,0,11.56,610.18,6.18,0.32,243.53
17.49,64.82,0,17.87,640.13,3.01,0.42,445.29
15.44,9.96,1,11.85,129.58,5.24,0.7,220.36
12.1,62.43,0,12.43,631.77,3.92,0.41,430.55
25.65,4.22,1,13.99,273.54,8.13,0.29,222.88
59.68,10.52,0,19.6,73.96,4.14,0.78,271.26
8.99,68.95,1,12.87,326.29,1.17,0.13,476.85
25.11,8.15,1,17.28,44.85,7.61,0.56,227.56
21.97,17.3,0,10.22,188.9,2.3,0.53,252.43
32.61,5.91,1,15.89,120.94,1.96,0.57,227.49
22.8,12.17,1,22.09,216.61,2.34,0.79,218.25
21.21,23.81,1,20.15,628.92,0.31,0.33,238.23
9.44,12.98,1,15.43,229.38,2.04,0.48,207.7
30.58,11.17,1,9.94,55.06,1.59,0.68,244.2
11.88,14.09,0,24.74,47.94,6.16,0.35,216.94
7.48,3.08,0,13.63,116.35,0.51,0.63,191.71
35.88,21.23,0,12.5,92.57,6.9,0.89,287.6
22.54,49.53,1,17.76,408.65,7.96,0.47,371.8
15.68,5.2,0,19.23,92.64,0.93,0.45,193.93
36.01,32.67,1,14.13,539.1,7.71,0.42,306.17
12.89,11.36,0,14.92,101.66,2.87,0.27,220.69
33.7,5.18,0,19.92,216.25,9.84,0.48,235.86
22.26,7.18,1,14.74,282.52,3.74,0.49,216.15
19.29,14.83,0,20.47,263.58,5.69,0.48,229.68
24.42,9.86,1,14.78,348.98,4.61,0.28,224.57
18.22,8.09,1,18.79,139.2,1.28,0.85,206.15
17.09,61.28,1,21.66,792.14,3.92,0.13,406.88
14.1,19.65,0,20,333.26,5.63,0.88,234.44
12.94,82.38,0,26.31,566.29,8.6,0.53,572.98
29.55,7.44,1,18.64,57.51,1.45,0.31,217.59
